p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,cluster,Identity
8.70E-12,-0.322274027,0.081,0.217,1.20E-07,CG34347,0,0
9.72E-12,-0.282810575,0.032,0.139,1.34E-07,CG43861,0,0
1.14E-11,-0.251663099,0.038,0.148,1.58E-07,woc,0,0
1.58E-11,-0.394250082,0.019,0.115,2.18E-07,CG5521,0,0
1.60E-11,-0.333325716,0.032,0.137,2.21E-07,CoRest,0,0
1.60E-11,0.37723353,0.792,0.851,2.21E-07,cpx,0,0
1.71E-11,-0.287120703,0.023,0.121,2.36E-07,htk,0,0
1.77E-11,-0.654336891,0.011,0.101,2.45E-07,lncRNA:CR46004,0,0
1.86E-11,-0.304495301,0.021,0.118,2.57E-07,CG5674,0,0
2.44E-11,0.308219695,0.138,0.311,3.37E-07,mAChR-A,0,0
3.17E-11,0.32098329,0.121,0.284,4.38E-07,milt,0,0
3.79E-11,-0.268694439,0.034,0.138,5.24E-07,IntS6,0,0
4.63E-11,-0.300022864,0.019,0.111,6.40E-07,nAChRalpha2,0,0
4.71E-11,0.416203261,0.854,0.874,6.51E-07,Msp300,0,0
4.98E-11,-0.274561603,0.198,0.388,6.88E-07,Mmp2,0,0
5.32E-11,-0.280734525,0.036,0.139,7.35E-07,CG33639,0,0
6.06E-11,-0.317848176,0.032,0.133,8.37E-07,CG11317,0,0
6.42E-11,-0.267755423,0.026,0.123,8.88E-07,galectin,0,0
6.60E-11,-0.277395994,0.023,0.117,9.12E-07,brm,0,0
7.02E-11,-0.340938239,0.019,0.11,9.70E-07,GATAd,0,0
7.22E-11,-0.436306189,0.032,0.132,9.98E-07,Tbh,0,0
7.35E-11,-0.252481131,0.079,0.207,1.02E-06,AstA-R1,0,0
7.39E-11,-0.254771947,0.03,0.129,1.02E-06,Rox8,0,0
8.16E-11,-0.396976805,0.015,0.103,1.13E-06,dnr1,0,0
8.43E-11,-0.256805291,0.025,0.119,1.16E-06,CG4562,0,0
1.29E-10,0.258273917,0.119,0.274,1.78E-06,babo,0,0
1.64E-10,0.363134212,0.121,0.277,2.26E-06,Nup153,0,0
2.04E-10,0.262144089,0.136,0.3,2.81E-06,bin3,0,0
2.22E-10,-1.042189493,0.017,0.101,3.07E-06,acj6,0,0
2.28E-10,-0.3869969,0.025,0.116,3.14E-06,Dif,0,0
2.50E-10,0.287679453,0.136,0.298,3.45E-06,jp,0,0
2.53E-10,0.252488909,0.144,0.31,3.49E-06,orb2,0,0
3.10E-10,0.297950845,0.159,0.335,4.29E-06,Actbeta,0,0
3.51E-10,0.266162505,0.108,0.251,4.85E-06,DCP2,0,0
3.75E-10,0.292414217,0.146,0.312,5.18E-06,alpha-Spec,0,0
3.85E-10,0.419921511,0.76,0.838,5.32E-06,Syt1,0,0
5.12E-10,0.263975068,0.17,0.351,7.07E-06,Eip78C,0,0
5.16E-10,-0.26577888,0.066,0.179,7.12E-06,beat-Ia,0,0
5.27E-10,-0.332643714,0.019,0.103,7.29E-06,CG40228,0,0
6.49E-10,-0.370280507,0.019,0.102,8.97E-06,CG31323,0,0
7.20E-10,0.267189723,0.089,0.218,9.94E-06,CG31522,0,0
9.00E-10,0.305761262,0.174,0.359,1.24E-05,CG43707,0,0
1.00E-09,-0.300078681,0.021,0.104,1.38E-05,qkr58E-3,0,0
1.10E-09,0.271048195,0.098,0.231,1.52E-05,DAAM,0,0
1.14E-09,-0.315001899,0.021,0.104,1.57E-05,MESR3,0,0
1.26E-09,0.316152735,0.149,0.315,1.74E-05,NfI,0,0
1.33E-09,-0.281674466,0.021,0.103,1.84E-05,Sln,0,0
1.76E-09,0.252816846,0.14,0.296,2.43E-05,CkIIbeta,0,0
1.98E-09,-0.266346765,0.582,0.827,2.73E-05,dnc,0,0
2.55E-09,-0.285681093,0.595,0.852,3.52E-05,Appl,0,0
2.81E-09,-1.219261783,0.026,0.109,3.89E-05,Vmat,0,0
3.03E-09,0.255929457,0.106,0.24,4.19E-05,alt,0,0
3.07E-09,0.321879949,0.127,0.274,4.24E-05,DIP2,0,0
3.34E-09,0.260632418,0.096,0.223,4.62E-05,numb,0,0
3.82E-09,-0.318532709,0.06,0.163,5.28E-05,dac,0,0
4.05E-09,0.250259369,0.115,0.253,5.60E-05,CG8671,0,0
4.48E-09,0.353706446,0.117,0.256,6.19E-05,CG32369,0,0
4.79E-09,0.259191473,0.234,0.449,6.62E-05,PAN3,0,0
7.68E-09,-0.4730588,0.06,0.158,1.06E-04,bab1,0,0
8.14E-09,-0.312135829,0.023,0.1,1.12E-04,Rfx,0,0
8.22E-09,-0.293907066,0.036,0.122,1.14E-04,Ac13E,0,0
8.82E-09,0.27440842,0.183,0.361,1.22E-04,Wdr62,0,0
1.09E-08,0.293047629,0.119,0.256,1.51E-04,CG32085,0,0
1.19E-08,-0.254534796,0.038,0.124,1.64E-04,CG34351,0,0
1.63E-08,0.263309868,0.081,0.193,2.25E-04,Pp2C1,0,0
1.72E-08,-0.49273811,0.149,0.276,2.37E-04,br,0,0
1.98E-08,0.299721701,0.174,0.342,2.73E-04,cindr,0,0
2.07E-08,0.281084826,0.068,0.171,2.86E-04,hrg,0,0
2.49E-08,-0.267352397,0.04,0.124,3.44E-04,DIP-theta,0,0
2.78E-08,0.349059519,0.07,0.173,3.84E-04,eIF5,0,0
2.86E-08,0.254882072,0.085,0.197,3.95E-04,Ald1,0,0
2.94E-08,0.362777415,0.127,0.263,4.06E-04,sesB,0,0
3.14E-08,0.328342295,0.847,0.897,4.34E-04,mtd,0,0
3.24E-08,-0.266281905,0.947,0.987,4.48E-04,lncRNA:Hsromega,0,0
3.44E-08,0.306939799,0.074,0.178,4.75E-04,CG31678,0,0
3.87E-08,0.253822976,0.068,0.169,5.35E-04,Rilpl,0,0
4.23E-08,0.258999187,0.06,0.156,5.84E-04,CG1812,0,0
5.28E-08,0.268768517,0.068,0.167,7.30E-04,caz,0,0
5.88E-08,0.303040505,0.136,0.272,8.13E-04,robo3,0,0
5.97E-08,0.32845363,0.089,0.199,8.24E-04,CG43367,0,0
6.32E-08,0.27001029,0.089,0.199,8.73E-04,CG10948,0,0
8.30E-08,-0.334082083,0.028,0.101,0.001145974,CAP,0,0
9.36E-08,0.261384933,0.257,0.47,0.00129338,norpA,0,0
1.13E-07,-0.319542181,0.885,0.965,0.001562348,IA-2,0,0
1.20E-07,0.263584614,0.13,0.261,0.001652945,CLIP-190,0,0
1.32E-07,0.257120362,0.076,0.175,0.001822712,CG16974,0,0
1.32E-07,0.298863773,0.062,0.155,0.00182813,CG9265,0,0
1.34E-07,0.316965084,0.081,0.185,0.001854099,CG14441,0,0
1.51E-07,0.351988139,0.106,0.223,0.002091706,Piezo,0,0
1.82E-07,0.324807743,0.093,0.2,0.002513665,CG32850,0,0
1.84E-07,0.284889037,0.225,0.411,0.002538627,CG17698,0,0
1.86E-07,0.3210183,0.051,0.135,0.002570821,Mur2B,0,0
2.02E-07,0.288944852,0.078,0.176,0.002794128,X11L,0,0
2.06E-07,0.275870376,0.076,0.174,0.002840432,ssp3,0,0
2.27E-07,0.277595721,0.062,0.153,0.003131074,Df31,0,0
3.17E-07,0.263196766,0.064,0.153,0.004384841,Eip74EF,0,0
3.23E-07,0.395614603,0.089,0.192,0.00446909,UBL3,0,0
3.37E-07,0.316932768,0.11,0.224,0.004658771,CG3556,0,0
3.40E-07,0.336366602,0.142,0.273,0.004698331,beat-IIIb,0,0
3.47E-07,0.270880202,0.217,0.397,0.004796827,ths,0,0
3.67E-07,0.345731768,0.798,0.842,0.005075704,Rbp6,0,0
3.92E-07,0.257958782,0.089,0.191,0.005417284,CG31808,0,0
4.12E-07,0.344661062,0.248,0.456,0.00569751,shi,0,0
4.78E-07,0.386511292,0.219,0.401,0.006596954,PsGEF,0,0
4.94E-07,0.449226031,0.102,0.212,0.006828461,Ehbp1,0,0
5.00E-07,0.387498005,0.076,0.17,0.006911135,hyd,0,0
5.97E-07,0.324652738,0.13,0.253,0.008242539,Toll-6,0,0
6.51E-07,0.398738714,0.21,0.385,0.008996986,Teh2,0,0
7.23E-07,0.33665078,0.068,0.156,0.009988301,Asap,0,0
7.28E-07,0.391262091,0.134,0.26,0.010057563,CG15803,0,0
9.86E-07,0.384452433,0.159,0.296,0.013628,spri,0,0
1.07E-06,0.291588776,0.047,0.123,0.01480557,CG42672,0,0
1.09E-06,0.31236791,0.068,0.155,0.015051512,Edc3,0,0
1.12E-06,0.332613001,0.051,0.128,0.015418845,inc,0,0
1.18E-06,0.353875982,0.085,0.18,0.016252146,Baldspot,0,0
1.67E-06,0.271925716,0.159,0.289,0.023089993,DIP-gamma,0,0
1.77E-06,0.295946511,0.047,0.121,0.024413382,Hel89B,0,0
2.13E-06,0.445173358,0.168,0.309,0.029478164,Mhcl,0,0
2.15E-06,-0.343439954,0.036,0.101,0.029741612,CG9650,0,0
2.34E-06,0.261377996,0.267,0.469,0.032303075,DopEcR,0,0
2.53E-06,0.312685116,0.11,0.213,0.034935111,CG42674,0,0
3.43E-06,0.378023689,0.214,0.379,0.047325211,Maf1,0,0
3.49E-06,0.344290178,0.053,0.126,0.048218782,Afti,0,0
3.57E-06,0.287759373,0.06,0.138,0.049332363,Dp1,0,0
3.93E-06,0.270882603,0.057,0.132,0.054323699,alphaTub84B,0,0
4.47E-06,0.264106843,0.189,0.33,0.061695466,app,0,0
4.48E-06,0.368190093,0.093,0.186,0.061892719,ATPsynC,0,0
4.88E-06,0.257132115,0.04,0.105,0.067436785,Arp2,0,0
5.12E-06,0.39034421,0.233,0.412,0.070784249,Pur-alpha,0,0
5.51E-06,0.331051022,0.064,0.142,0.07617101,Hcs,0,0
5.92E-06,0.424940566,0.095,0.187,0.081783935,SelR,0,0
5.94E-06,0.266959514,0.042,0.107,0.082120117,CG6912,0,0
6.35E-06,0.372926152,0.157,0.282,0.087672198,CG42524,0,0
7.00E-06,0.439365336,0.11,0.21,0.096669363,Meltrin,0,0
7.03E-06,0.26871234,0.047,0.115,0.097133728,tho2,0,0
9.50E-06,0.361423287,0.308,0.535,0.131190515,CG9674,0,0
1.13E-05,0.464509793,0.074,0.154,0.155865346,lva,0,0
1.14E-05,0.362165043,0.181,0.315,0.156830131,CG11030,0,0
1.24E-05,0.399702769,0.117,0.217,0.1709683,LpR1,0,0
1.27E-05,0.288241945,0.043,0.107,0.175421798,smg,0,0
1.41E-05,0.311956905,0.079,0.16,0.195060793,pcx,0,0
2.36E-05,0.340793108,0.055,0.121,0.325546425,CG17493,0,0
2.74E-05,0.373172407,0.098,0.185,0.378537613,CG12851,0,0
3.30E-05,0.433828712,0.108,0.199,0.456250753,CG10804,0,0
4.33E-05,0.32254893,0.06,0.127,0.597907184,Uhg5,0,0
4.81E-05,0.274272108,0.057,0.121,0.665030223,Paip2,0,0
5.41E-05,0.535436102,0.127,0.225,0.746710965,cdi,0,0
5.70E-05,0.316594346,0.045,0.103,0.786866091,ben,0,0
5.94E-05,0.322835392,0.043,0.1,0.820447237,Axud1,0,0
6.08E-05,0.380935809,0.662,0.801,0.839425261,Srrm234,0,0
6.79E-05,0.415153171,0.123,0.215,0.938354796,DIP-delta,0,0
6.79E-05,0.461066617,0.062,0.128,0.938368024,P5CDh1,0,0
7.42E-05,0.411499341,0.062,0.127,1,kay,0,0
1.10E-04,0.31095061,0.064,0.128,1,Pcyt1,0,0
1.49E-04,0.401047094,0.081,0.152,1,CG43740,0,0
1.77E-04,0.375235163,0.219,0.351,1,ab,0,0
2.00E-04,0.431879928,0.049,0.103,1,Sms,0,0
2.55E-04,0.391254421,0.087,0.156,1,CG3655,0,0
2.87E-04,0.480429494,0.076,0.14,1,Set2,0,0
3.77E-04,0.370662629,0.113,0.192,1,CG8861,0,0
3.99E-04,0.459152357,0.062,0.119,1,Tim17b,0,0
4.80E-04,0.435180086,0.552,0.645,1,nAChRalpha7,0,0
5.52E-04,0.296248716,0.246,0.386,1,CG42594,0,0
6.43E-04,0.400012297,0.675,0.804,1,NaCP60E,0,0
6.86E-04,0.334088716,0.055,0.105,1,tyn,0,0
9.90E-04,0.384207839,0.117,0.19,1,zld,0,0
0.001144234,0.392528937,0.267,0.416,1,kek2,0,0
0.001164229,0.524104693,0.068,0.122,1,blw,0,0
0.001435259,0.500715132,0.181,0.284,1,beat-Ic,0,0
0.001546792,0.399589154,0.079,0.133,1,Hr38,0,0
0.001835383,0.565031924,0.535,0.595,1,mbl,0,0
0.001945043,0.434759652,0.299,0.476,1,l(1)G0196,0,0
0.002478992,0.474146108,0.102,0.165,1,CG43795,0,0
0.00295169,0.452173912,0.65,0.771,1,GluClalpha,0,0
0.003124048,0.431162763,0.299,0.453,1,dpr11,0,0
0.00316277,0.271127112,0.713,0.832,1,Nckx30C,0,0
0.003257499,0.518096943,0.068,0.116,1,CG10960,0,0
0.005146531,0.260024755,0.684,0.824,1,ps,0,0
0.005413245,0.632532634,0.106,0.167,1,dpr15,0,0
0.006885123,0.284546211,0.843,0.881,1,pros,0,0
1.60E-118,-2.373858452,0.47,0.889,2.21E-114,pros,1,1
1.79E-59,1.518329213,0.577,0.313,2.47E-55,Imp,1,1
2.55E-42,-0.961762518,0.586,0.853,3.52E-38,jim,1,1
5.83E-36,-1.138463151,0.122,0.436,8.05E-32,dati,1,1
